time,Nose_x,Nose_y,Nose_z,LEar_x,LEar_y,LEar_z,REar_x,REar_y,REar_z,C1_x,C1_y,C1_z,L1_x,L1_y,L1_z,Pelvis_x,Pelvis_y,Pelvis_z,CA4_x,CA4_y,CA4_z,LScapula_x,LScapula_y,LScapula_z,LHumerus_x,LHumerus_y,LHumerus_z,LUlna_x,LUlna_y,LUlna_z,LWrist_x,LWrist_y,LWrist_z,RScapula_x,RScapula_y,RScapula_z,RHumerus_x,RHumerus_y,RHumerus_z,RUlna_x,RUlna_y,RUlna_z,RWrist_x,RWrist_y,RWrist_z,LFemur_x,LFemur_y,LFemur_z,LLeg_x,LLeg_y,LLeg_z,LPedal_Wrist_x,LPedal_Wrist_y,LPedal_Wrist_z,LPedal_x,LPedal_y,LPedal_z,RFemur_x,RFemur_y,RFemur_z,RLeg_x,RLeg_y,RLeg_z,RPedal_Wrist_x,RPedal_Wrist_y,RPedal_Wrist_z,RPedal_x,RPedal_y,RPedal_z
0.000000000000000000e+00,2.124808460500922924e-01,1.833152523297864461e-02,2.827957002708825218e-02,1.969165469046884887e-01,2.316025067548895325e-02,3.122677255036967678e-02,1.970268535789780340e-01,1.316085907989806084e-02,3.122716705452101976e-02,1.914618887711019568e-01,1.809997340384121578e-02,3.420796114623737838e-02,1.669133390121368410e-01,1.785534381584372859e-02,3.978419593552864897e-02,1.409784864143406036e-01,1.715586853643756571e-02,3.557699160243674164e-02,1.284522339831737914e-01,1.675358386693559173e-02,3.515123477856374468e-02,1.903998062349932796e-01,2.509991037244468232e-02,3.087458776039775366e-02,1.903425535445059102e-01,2.610688305986829522e-02,2.237594700540546794e-02,1.912933915742902613e-01,2.612722117710853525e-02,1.337064337909152183e-02,1.912843014440072931e-01,2.513071415611191697e-02,9.369786757814623293e-03,1.905454746935101307e-01,1.107823741348679288e-02,3.086709079568174252e-02,1.905510398851067155e-01,1.015277074309949533e-02,2.235514208659054869e-02,1.915473218926703747e-01,1.024115600973068280e-02,1.335516374183619293e-02,1.915378723375394665e-01,1.127704627962784062e-02,9.364292590476551090e-03,1.409454998663237368e-01,2.191679948452494864e-02,3.440120426986864599e-02,1.415849388408703668e-01,2.090109232454185825e-02,2.090826327233256260e-02,1.428801186061074702e-01,1.746356786628114333e-02,2.642764785442588277e-03,1.518111250929515543e-01,1.777889171394327061e-02,3.709392181980107357e-03,1.412397156880358384e-01,1.232828747375588896e-02,3.476689758836990635e-02,1.419270698024135691e-01,1.231478201993632497e-02,2.123813704188357715e-02,1.431614462367710172e-01,1.437499047802332473e-02,2.762359495930885589e-03,1.520861532647015957e-01,1.468763059621176238e-02,3.881225270769779294e-03
2.000000000000000042e-02,2.002142459750354264e-01,3.106266718676391203e-02,2.155526692547773959e-02,1.843156853474938184e-01,3.357870795363226274e-02,2.544824892284689583e-02,1.858873923392501126e-01,2.370308400503050306e-02,2.540595521329488959e-02,1.798474275531417310e-01,2.779375644408822732e-02,2.872489772858654450e-02,1.553570272118875717e-01,2.451414700128480909e-02,3.472595804790867130e-02,1.363280746643668051e-01,1.460635124578371462e-02,1.912647183635259387e-02,1.292958961344226054e-01,8.559456923428136049e-03,1.068613523546160272e-02,1.776549229558888332e-01,3.473218062529698225e-02,2.495063999322785081e-02,1.760350787181463594e-01,3.517140962114953529e-02,1.654341445908752428e-02,1.754852219509265565e-01,3.478274815236676726e-02,7.513098861157068570e-03,1.750162289095726076e-01,3.353305911184782662e-02,3.609806039639934256e-03,1.796237036708810131e-01,2.054063026077318499e-02,2.487588113652846808e-02,1.789215876334082633e-01,2.090103741471417004e-02,1.629237535546207427e-02,1.790902881585617890e-01,2.243371916092095492e-02,7.369235392553417745e-03,1.786495401803849803e-01,2.407049945143335465e-02,3.608490066539287756e-03,1.361942425163066017e-01,1.870769066782605738e-02,1.642551606336095996e-02,1.474149826202335034e-01,1.673136024837176480e-02,9.098230782080730591e-03,1.632764440863233024e-01,1.242107108980818053e-02,3.256628838358092276e-04,1.674097662158270383e-01,1.685162855395896941e-02,6.980421236369163500e-03,1.381144466172559704e-01,1.035937023635236098e-02,2.075609502096879833e-02,1.497329555614479446e-01,9.632123477830743102e-03,1.382923699831881646e-02,1.653533122138416966e-01,1.062102768650907691e-02,3.722356840818348556e-03,1.692593843229391881e-01,1.495681743197551337e-02,1.057389155660566973e-02
4.000000000000000083e-02,1.932797415287237641e-01,3.554277077379912331e-02,1.527168019282889103e-02,1.780237991767513461e-01,3.528112874035013030e-02,2.170889747979595427e-02,1.811458337138713015e-01,2.581087771315334831e-02,2.095574023797421026e-02,1.751369947019625894e-01,2.876091431562512526e-02,2.534758679463578607e-02,1.518952007736038834e-01,2.075636190632907177e-02,3.295586446662166630e-02,1.407567552482221762e-01,2.773068487412974625e-03,1.783214616797119956e-02,1.386725227163402296e-01,-7.322417047277157351e-03,1.069186888603903228e-02,1.711588312087756747e-01,3.539716120415821454e-02,2.199231643417696655e-02,1.679945730062885056e-01,3.487216540598379877e-02,1.401421846717720160e-02,1.659033040706081041e-01,3.370190737409368281e-02,5.281687884496436350e-03,1.650261759008068985e-01,3.209150951735127710e-02,1.586140188188395628e-03,1.757162032387421247e-01,2.177052383321775517e-02,2.102016083298672428e-02,1.737505319816912974e-01,2.373969754019130546e-02,1.274032953586157549e-02,1.724650919309069219e-01,2.707314993108073109e-02,4.419527949865607527e-03,1.712942443720800734e-01,2.937788901576445649e-02,1.199996196317075492e-03,1.396981351581128850e-01,5.747507274773482402e-03,1.407613366587874212e-02,1.520352782614513010e-01,6.807011037800196097e-03,8.583197126660294107e-03,1.696605341362327213e-01,7.018904805914355505e-03,2.547639457354405196e-03,1.705717159512873116e-01,1.421757332106463392e-02,7.872009777767696725e-03,1.434507896103201507e-01,9.634134021892118253e-05,2.085720348188450229e-02,1.560364273057357754e-01,1.889020727848261414e-03,1.617873958730307871e-02,1.724142504755414862e-01,5.027108788139797099e-03,7.869599346313609425e-03,1.742468749760557600e-01,1.206056561235065855e-02,1.317732697139729209e-02
5.999999999999999778e-02,1.872731123169103506e-01,4.105589807922987999e-02,1.320293828929381200e-02,1.741169290595548369e-01,3.791245182140241810e-02,2.275718277658998409e-02,1.787726633656694653e-01,2.922348995743842201e-02,2.107608795551451503e-02,1.733945261057717735e-01,3.100240678847004591e-02,2.671905639354035106e-02,1.530204735522472104e-01,1.822364399086373599e-02,3.663593942325227976e-02,1.487557294965983767e-01,-4.335416183132148257e-03,2.561966022479528898e-02,1.503056745236379943e-01,-1.608249393948166933e-02,2.151708653595464996e-02,1.676394260156534310e-01,3.675235426355404761e-02,2.426706718090894735e-02,1.635180464519550569e-01,3.488945738726071527e-02,1.692922300422985624e-02,1.604548711736052957e-01,3.255964683213540684e-02,8.732337010675135860e-03,1.594341571392821344e-01,3.049395415617240854e-02,5.310188358434754508e-03,1.746889027881524670e-01,2.440810877654034372e-02,2.250433553661427416e-02,1.717411170210286220e-01,2.740642444427432781e-02,1.473792835430914536e-02,1.693952418012934780e-01,3.194243444673125487e-02,7.241196227186985461e-03,1.676793221016281976e-01,3.458782040123105361e-02,4.570742723827233428e-03,1.461362949874134565e-01,-3.229919041050385246e-03,2.165589305476426502e-02,1.558348160863543275e-01,5.117999043053197104e-04,1.297037477274075139e-02,1.705343495990521985e-01,5.186068128076841074e-03,2.520617307549936209e-03,1.688331051747067879e-01,1.347901453637170496e-02,5.575581673591357632e-03,1.524369029551900234e-01,-4.913943636429802565e-03,2.865059220898467929e-02,1.635627361345268482e-01,-1.480258720761476032e-03,2.172775724305638090e-02,1.776543794182079972e-01,1.724719512696719272e-03,9.968666968356427321e-03,1.787555695869571526e-01,1.038687875566221379e-02,1.214912046746105187e-02
8.000000000000000167e-02,1.784811161883523289e-01,4.372900476785985396e-02,6.897153415751401673e-03,1.702746289496337162e-01,3.959796861648373634e-02,2.067532845879583442e-02,1.759986386128065128e-01,3.180666661475307910e-02,1.811968245558403731e-02,1.724770511310885490e-01,3.333857408545964213e-02,2.510973215098736069e-02,1.557709027954423397e-01,1.698191702436319117e-02,3.797406502738560202e-02,1.572562510800461777e-01,-6.335300880875528208e-03,2.973069227763271150e-02,1.622918740908158575e-01,-1.751628022700983320e-02,2.711450665345568889e-02,1.654226747516570617e-01,3.767637180427202415e-02,2.421367403028305831e-02,1.608072813005026469e-01,3.465205803283475522e-02,1.758104685858437669e-02,1.571954724108982071e-01,3.130881980278141241e-02,9.979889401848966030e-03,1.561526289966069236e-01,2.889221025415829314e-02,6.803344902139371250e-03,1.743230877774323284e-01,2.679724729817347176e-02,2.203844447300367174e-02,1.709667005598387302e-01,3.063268819910162921e-02,1.476045485623957501e-02,1.682970550638439866e-01,3.620593868107613300e-02,8.077232965550473071e-03,1.663881176657953653e-01,3.912445888919985348e-02,5.857038827660601688e-03,1.538582725354394887e-01,-7.003422900734969717e-03,2.632974018324506921e-02,1.596193722910067281e-01,-1.940280713032203983e-03,1.516397461193258814e-02,1.690953043561459201e-01,5.656744689894920713e-03,1.035477999619355965e-03,1.647397601205292383e-01,1.312627281264740556e-02,3.532553095605853438e-03,1.612089400138261019e-01,-5.141003547238869563e-03,3.209752544465085955e-02,1.703117223288142523e-01,-7.762325101681120379e-04,2.306491076672474022e-02,1.820672865062762380e-01,1.807428107160548476e-03,8.843310692048314547e-03,1.819652426228548503e-01,1.080175438901965698e-02,8.540520696647877635e-03
1.000000000000000056e-01,1.675960775146906057e-01,4.092063475649782012e-02,2.313711465332924516e-03,1.666277731406201057e-01,3.937321798761967556e-02,1.877329493462370769e-02,1.728677268828039959e-01,3.230635510567096691e-02,1.543826475437937162e-02,1.719061667557073014e-01,3.503110568111304779e-02,2.284171546099979938e-02,1.586211203538469561e-01,1.695872993916089713e-02,3.897236561912627989e-02,1.632626220960638475e-01,-6.178946096430243395e-03,3.213711359486773333e-02,1.699449385340515428e-01,-1.648738804655424869e-02,2.962495728128978004e-02,1.646328534562015722e-01,3.801138985838665996e-02,2.380436966958476147e-02,1.600398224966696203e-01,3.419040624573964349e-02,1.755241914171352252e-02,1.564883768554672372e-01,3.023587135409611104e-02,1.020406073197429112e-02,1.556017823663209954e-01,2.764370468920782781e-02,7.119924636638436111e-03,1.745623483287374600e-01,2.815799835936743864e-02,2.131681592607059458e-02,1.709242982109945297e-01,3.210207020976330733e-02,1.422726998685907608e-02,1.682306565199503390e-01,3.807616939542288192e-02,7.856266939493513138e-03,1.663218650625156447e-01,4.111320732644324627e-02,5.799263994311821060e-03,1.596197734053367012e-01,-7.733543656820303716e-03,2.933384957426379835e-02,1.626032175359979903e-01,-2.565744520780751867e-03,1.717272655010308388e-02,1.682613702912286457e-01,5.558293089185457371e-03,1.389576664534271366e-03,1.631712923902002566e-01,1.243829831536975329e-02,4.174650281001061197e-03,1.672060620959863464e-01,-4.159449499867021866e-03,3.382726790430126002e-02,1.744949155114838280e-01,2.744293153404929464e-04,2.330522748718419010e-02,1.841751183558675009e-01,1.928575753571285748e-03,7.472351170719294944e-03,1.836255992299374862e-01,1.079136523619069442e-02,6.006407339255065946e-03
1.200000000000000094e-01,1.578288695946251929e-01,3.553989818922969474e-02,3.059934570750662275e-03,1.626902811357543721e-01,3.792809280551728141e-02,1.870963758079245351e-02,1.690724542296170863e-01,3.147101095281169131e-02,1.451750679234668773e-02,1.699004609260788279e-01,3.569834253474127306e-02,2.118384801340724571e-02,1.599326779231631523e-01,1.687525707462590729e-02,3.991971805439854110e-02,1.666087267385721049e-01,-5.904879510816475954e-03,3.332001417548380306e-02,1.739516713217279520e-01,-1.561944974624773774e-02,3.032278926387523346e-02,1.634070288338231036e-01,3.778259847879399114e-02,2.387283733627683369e-02,1.591287210398719676e-01,3.366753980451898942e-02,1.756415175020337172e-02,1.559933655661628615e-01,2.969182931822819324e-02,1.001128074143953738e-02,1.553610698992757555e-01,2.716520543132780116e-02,6.812532199730381155e-03,1.739999911057240056e-01,2.877071516767692669e-02,2.118948131847497168e-02,1.705016777924956706e-01,3.266494279823548008e-02,1.403758249208774886e-02,1.682145564010752159e-01,3.890826944168365720e-02,7.719490068018509087e-03,1.664779609474617839e-01,4.204965749859365665e-02,5.666120667697960474e-03,1.628519425307566326e-01,-7.759744330142094061e-03,3.087340107301343381e-02,1.643653582373140742e-01,-2.613616723219968317e-03,1.843447251978106577e-02,1.683184623506718269e-01,5.150611384406815658e-03,1.965950128209544706e-03,1.634219216584774925e-01,1.218375855570121707e-02,4.715264609420923708e-03,1.705259161959677694e-01,-3.611851176626505212e-03,3.463535945320149467e-02,1.766196545775731430e-01,1.015326738077559996e-03,2.345700639551788827e-02,1.848327160864812191e-01,2.357541031510710164e-03,6.787675831833074602e-03,1.844529614470647172e-01,1.119333871813988496e-02,5.119004008255931444e-03
1.400000000000000133e-01,1.523375898904232306e-01,3.216011947791538178e-02,5.737374023068406506e-03,1.596493031112088401e-01,3.660408166835773386e-02,1.991623327996591350e-02,1.660972706706665136e-01,3.087018396856258326e-02,1.486191517358740471e-02,1.674704845294797129e-01,3.573021790087133748e-02,2.098357150513575214e-02,1.606009292861122761e-01,1.664468848240251153e-02,4.109904430924680996e-02,1.690414475312045639e-01,-5.569826469845056902e-03,3.416319705269492413e-02,1.767282822871953651e-01,-1.477129881618747566e-02,3.047698309317714224e-02,1.619473783792501342e-01,3.721531048541693032e-02,2.440326007562532151e-02,1.581065519147808740e-01,3.302631637273124171e-02,1.784948965119708200e-02,1.555315025966654552e-01,2.931860303117685834e-02,9.926275292330657973e-03,1.551981959019095580e-01,2.698218932415729840e-02,6.543491088376738457e-03,1.731008925632495365e-01,2.906526280266530371e-02,2.167589757349887639e-02,1.699884184142904930e-01,3.279297926180662487e-02,1.432432718158709040e-02,1.682686280103713183e-01,3.919330022238268207e-02,7.948871579904488727e-03,1.667512313674142099e-01,4.239857153121809330e-02,5.822127714323992176e-03,1.651927818630140599e-01,-7.559871682409097238e-03,3.199446720540341516e-02,1.655252433792604450e-01,-2.366147898287263018e-03,1.948788083683495459e-02,1.683095489564054303e-01,4.869569192938431532e-03,2.546377343082582151e-03,1.637853590786315650e-01,1.224809767426333039e-02,5.013972001880027604e-03,1.729381833646771449e-01,-3.148367484836715486e-03,3.521862926914926667e-02,1.780587227416448037e-01,1.701867630354729922e-03,2.365336680709127781e-02,1.850109535093210633e-01,2.752910768134621787e-03,6.399836858831390446e-03,1.849826138316057467e-01,1.159524474400084465e-02,4.722837538047752748e-03
1.600000000000000033e-01,1.493852821460456837e-01,2.999618029095631883e-02,7.790645791548242438e-03,1.573135515094540027e-01,3.530371679669970508e-02,2.132662012446725347e-02,1.640157991728579401e-01,3.068306178182436325e-02,1.551891631901162506e-02,1.652481855007387757e-01,3.560799900553390102e-02,2.161319322023277922e-02,1.611960375457010541e-01,1.648742674017604493e-02,4.224374550717689691e-02,1.712268962490739455e-01,-5.043601424405250513e-03,3.491014795475776145e-02,1.790978327661190417e-01,-1.380222205499364967e-02,3.057900075970008957e-02,1.605178788249356781e-01,3.646622553294582431e-02,2.488570751555749944e-02,1.571702557026212754e-01,3.224658369655306056e-02,1.807394746838989971e-02,1.551943743280482513e-01,2.889233865123579104e-02,9.800726519055292726e-03,1.551731074770799912e-01,2.679181149265735112e-02,6.251381308725951352e-03,1.721998292424719301e-01,2.925665686233016802e-02,2.222457636496239647e-02,1.695638699098489244e-01,3.274150613939722648e-02,1.465122970741312286e-02,1.683911018049543962e-01,3.921940250701161368e-02,8.207031167222362741e-03,1.670730584676059782e-01,4.245015490226648758e-02,5.988710946245063595e-03,1.673071180097269461e-01,-7.131734493211287600e-03,3.300217988654488566e-02,1.665869550750292416e-01,-2.007816201449707551e-03,2.048312134818673635e-02,1.684051340727491519e-01,4.418937017638054597e-03,3.090204163505090584e-03,1.642545670914842826e-01,1.216411504010411759e-02,5.035714670889255770e-03,1.750996743380023313e-01,-2.533163881620943952e-03,3.573586509236863912e-02,1.793377729010401378e-01,2.438210280467991830e-03,2.386893796229445225e-02,1.851096555707737457e-01,3.006076513781281295e-03,6.163419094215773913e-03,1.854313602024643126e-01,1.183758671546363689e-02,4.460206339587235481e-03
1.799999999999999933e-01,1.474384958182584915e-01,2.711074395234401579e-02,9.256659599237083980e-03,1.551408914689977603e-01,3.346273205414745239e-02,2.246935608383175687e-02,1.621760017842790447e-01,3.041070500747646010e-02,1.605122911732417140e-02,1.628759305163142435e-01,3.529654615584704863e-02,2.225100078018760197e-02,1.616196225570043499e-01,1.643771470025047476e-02,4.307361380707012966e-02,1.732054366951980007e-01,-4.315252641297162399e-03,3.546220799656222417e-02,1.811681356477105320e-01,-1.268514727398061849e-02,3.055764665396028951e-02,1.591072598842812602e-01,3.567203554531120369e-02,2.513333998062961330e-02,1.563082945893468911e-01,3.143120996205330669e-02,1.808204086722452891e-02,1.549461784815100995e-01,2.846085091106573609e-02,9.520142172688227100e-03,1.552406848786906379e-01,2.661998830396826790e-02,5.841503254518657512e-03,1.712934518177024190e-01,2.949898204718872166e-02,2.263471946219575148e-02,1.691980000756994895e-01,3.274379791662630768e-02,1.487536637283927606e-02,1.685064302508202660e-01,3.927273120126249101e-02,8.399330282266128864e-03,1.673510870299558806e-01,4.250566256440474477e-02,6.096118593875408248e-03,1.692417726338232009e-01,-6.483912709773055096e-03,3.379217517933930104e-02,1.675352782477439184e-01,-1.470966106100209114e-03,2.132388567119085018e-02,1.684286702487877707e-01,4.084739898895126294e-03,3.562734764829812023e-03,1.645701030658162922e-01,1.210437108289161637e-02,4.903247714102048661e-03,1.770468039738961052e-01,-1.736587608512042561e-03,3.609202546813936735e-02,1.804965406740693112e-01,3.297476602823516071e-03,2.399832817510162350e-02,1.852030567377875026e-01,3.234053484690625063e-03,5.971481971451669812e-03,1.858297945725304601e-01,1.204650539982594221e-02,4.254539651532462420e-03
